STT,Resource Type,Provider,Category,Keywords,Description,Required Arguments,Optional Arguments,Best Practices,Common Mistakes,Example Code,Related Resources,Complexity
11,aws_cloudfront_distribution,aws,CDN,"cloudfront, cdn, distribution, cache, edge, global",Content Delivery Network distribution,"origin, default_cache_behavior","price_class, aliases, viewer_certificate, web_acl_id, logging_config","Use OAI for S3, enable WAF, configure proper cache behaviors","Not using OAI, wrong cache settings, no custom error responses","resource ""aws_cloudfront_distribution"" ""cdn"" { origin { domain_name = aws_s3_bucket.static.bucket_regional_domain_name origin_id = ""S3Origin"" s3_origin_config { origin_access_identity = aws_cloudfront_origin_access_identity.oai.cloudfront_access_identity_path } } enabled = true default_cache_behavior { allowed_methods = [""GET"", ""HEAD""] cached_methods = [""GET"", ""HEAD""] target_origin_id = ""S3Origin"" viewer_protocol_policy = ""redirect-to-https"" } }","aws_cloudfront_origin_access_identity, aws_acm_certificate",High
12,aws_route53_zone,aws,DNS,"route53, dns, zone, domain, hosted",DNS hosted zone,"name","comment, vpc, tags","Use alias records for AWS resources, enable DNSSEC, set appropriate TTLs","Wrong record types, missing health checks, no DNSSEC","resource ""aws_route53_zone"" ""main"" { name = ""example.com"" }","aws_route53_record, aws_route53_health_check",Low
13,aws_dynamodb_table,aws,Database,"dynamodb, nosql, serverless, table, key-value",Serverless NoSQL database,"name, billing_mode, hash_key","range_key, attribute, global_secondary_index, ttl, point_in_time_recovery, server_side_encryption","Enable point-in-time recovery, use on-demand for variable workloads, design for access patterns","Wrong partition key design, not enabling backups, over-provisioning","resource ""aws_dynamodb_table"" ""data"" { name = ""my-table"" billing_mode = ""PAY_PER_REQUEST"" hash_key = ""pk"" range_key = ""sk"" attribute { name = ""pk"" type = ""S"" } attribute { name = ""sk"" type = ""S"" } point_in_time_recovery { enabled = true } }","aws_dynamodb_table_item, aws_appautoscaling_target",Medium
14,aws_sqs_queue,aws,Messaging,"sqs, queue, messaging, async, decoupling",Simple Queue Service for message queuing,"name","delay_seconds, max_message_size, message_retention_seconds, visibility_timeout_seconds, sqs_managed_sse_enabled, dead_letter_queue","Enable encryption, configure DLQ, set appropriate visibility timeout","No DLQ, wrong visibility timeout, no encryption","resource ""aws_sqs_queue"" ""main"" { name = ""my-queue"" sqs_managed_sse_enabled = true visibility_timeout_seconds = 30 redrive_policy = jsonencode({ deadLetterTargetArn = aws_sqs_queue.dlq.arn maxReceiveCount = 3 }) }","aws_sqs_queue_policy, aws_lambda_event_source_mapping",Low
15,aws_sns_topic,aws,Messaging,"sns, topic, pub, sub, notification, events",Simple Notification Service topic,"name","display_name, kms_master_key_id, delivery_policy","Enable encryption, use topic policies, configure delivery retries","No encryption, missing subscriptions, wrong protocol","resource ""aws_sns_topic"" ""alerts"" { name = ""alerts"" kms_master_key_id = aws_kms_key.sns.id }","aws_sns_topic_subscription, aws_sns_topic_policy",Low
16,azurerm_resource_group,azurerm,Foundation,"resource, group, azure, container, organization",Azure resource group for organization,"name, location","tags","Use consistent naming, one RG per application/environment, add tags","Too many resources in one RG, wrong location, no tags","resource ""azurerm_resource_group"" ""main"" { name = ""my-rg"" location = ""eastus"" tags = { Environment = ""production"" } }","All Azure resources",Low
17,azurerm_virtual_network,azurerm,Networking,"vnet, network, azure, virtual, cidr",Azure Virtual Network,"name, location, resource_group_name, address_space","dns_servers, subnet, tags","Plan address space carefully, use network security groups, enable DDoS protection","Overlapping address spaces, no NSGs, missing peering","resource ""azurerm_virtual_network"" ""main"" { name = ""main-vnet"" location = azurerm_resource_group.main.location resource_group_name = azurerm_resource_group.main.name address_space = [""10.0.0.0/16""] }","azurerm_subnet, azurerm_network_security_group",Low
18,azurerm_kubernetes_cluster,azurerm,Containers,"aks, kubernetes, k8s, azure, container, managed",Azure Kubernetes Service cluster,"name, location, resource_group_name, dns_prefix, default_node_pool, identity","network_profile, addon_profile, auto_scaler_profile","Enable RBAC, use managed identity, configure network policies","Public API server, no RBAC, wrong network plugin","resource ""azurerm_kubernetes_cluster"" ""main"" { name = ""my-aks"" location = azurerm_resource_group.main.location resource_group_name = azurerm_resource_group.main.name dns_prefix = ""myaks"" default_node_pool { name = ""default"" node_count = 3 vm_size = ""Standard_D2_v2"" } identity { type = ""SystemAssigned"" } }","azurerm_kubernetes_cluster_node_pool",High
19,azurerm_storage_account,azurerm,Storage,"storage, blob, azure, files, queue, table",Azure Storage Account,"name, resource_group_name, location, account_tier, account_replication_type","account_kind, min_tls_version, enable_https_traffic_only, network_rules","Enable HTTPS only, configure network rules, use appropriate replication","Public access, no encryption, wrong replication type","resource ""azurerm_storage_account"" ""main"" { name = ""mystorageaccount"" resource_group_name = azurerm_resource_group.main.name location = azurerm_resource_group.main.location account_tier = ""Standard"" account_replication_type = ""GRS"" min_tls_version = ""TLS1_2"" enable_https_traffic_only = true }","azurerm_storage_container, azurerm_storage_blob",Medium
20,google_compute_instance,google,Compute,"gce, instance, vm, compute, google, gcp",GCP Compute Engine instance,"name, machine_type, boot_disk, network_interface","zone, metadata, service_account, tags, labels","Use instance templates, enable shielded VM, use service accounts","Public IPs on private instances, default service account, no labels","resource ""google_compute_instance"" ""main"" { name = ""my-instance"" machine_type = ""e2-medium"" zone = ""us-central1-a"" boot_disk { initialize_params { image = ""debian-cloud/debian-11"" } } network_interface { network = google_compute_network.vpc.id subnetwork = google_compute_subnetwork.subnet.id } }","google_compute_instance_template, google_compute_disk",Medium
21,google_container_cluster,google,Containers,"gke, kubernetes, k8s, google, container, managed",Google Kubernetes Engine cluster,"name, location","initial_node_count, node_config, network, subnetwork, private_cluster_config, workload_identity_config","Use private clusters, enable workload identity, configure network policies","Public clusters, default service account, no network policies","resource ""google_container_cluster"" ""main"" { name = ""my-gke"" location = ""us-central1"" initial_node_count = 1 remove_default_node_pool = true workload_identity_config { workload_pool = ""${var.project_id}.svc.id.goog"" } private_cluster_config { enable_private_nodes = true enable_private_endpoint = false master_ipv4_cidr_block = ""10.16.0.0/28"" } }","google_container_node_pool",High
22,google_storage_bucket,google,Storage,"gcs, bucket, storage, object, google, gcp",Google Cloud Storage bucket,"name, location","storage_class, versioning, lifecycle_rule, uniform_bucket_level_access, encryption","Enable uniform bucket-level access, use appropriate storage class, set lifecycle rules","Public buckets, no versioning, wrong storage class","resource ""google_storage_bucket"" ""data"" { name = ""my-unique-bucket"" location = ""US"" storage_class = ""STANDARD"" uniform_bucket_level_access = true versioning { enabled = true } }","google_storage_bucket_iam_member, google_storage_bucket_object",Medium
23,kubernetes_deployment,kubernetes,Workloads,"deployment, pods, replicas, k8s, container, app",Kubernetes Deployment for stateless apps,"metadata, spec","","Use resource limits, configure liveness/readiness probes, use PodDisruptionBudget","No resource limits, missing probes, no anti-affinity","resource ""kubernetes_deployment"" ""app"" { metadata { name = ""my-app"" labels = { app = ""my-app"" } } spec { replicas = 3 selector { match_labels = { app = ""my-app"" } } template { metadata { labels = { app = ""my-app"" } } spec { container { name = ""app"" image = ""nginx:latest"" resources { limits = { cpu = ""500m"" memory = ""128Mi"" } } } } } } }","kubernetes_service, kubernetes_horizontal_pod_autoscaler",Medium
24,kubernetes_service,kubernetes,Networking,"service, loadbalancer, clusterip, nodeport, k8s",Kubernetes Service for network access,"metadata, spec","","Use ClusterIP for internal, LoadBalancer sparingly, prefer Ingress","Wrong service type, missing selectors, no session affinity when needed","resource ""kubernetes_service"" ""app"" { metadata { name = ""my-app"" } spec { selector = { app = ""my-app"" } port { port = 80 target_port = 8080 } type = ""ClusterIP"" } }","kubernetes_deployment, kubernetes_ingress",Low
25,kubernetes_config_map,kubernetes,Configuration,"configmap, config, k8s, settings, environment",Kubernetes ConfigMap for configuration,"metadata","data, binary_data","Separate configs by environment, use for non-sensitive data only","Storing secrets in configmaps, too large configs, tight coupling","resource ""kubernetes_config_map"" ""app"" { metadata { name = ""app-config"" } data = { DATABASE_HOST = ""db.example.com"" LOG_LEVEL = ""info"" } }","kubernetes_deployment, kubernetes_secret",Low
26,kubernetes_secret,kubernetes,Security,"secret, credentials, k8s, sensitive, password",Kubernetes Secret for sensitive data,"metadata","data, string_data, type","Use external secrets operator, encrypt etcd, rotate regularly","Plain text in VCS, no encryption at rest, sharing across namespaces","resource ""kubernetes_secret"" ""db"" { metadata { name = ""db-credentials"" } data = { username = base64encode(var.db_username) password = base64encode(var.db_password) } }","kubernetes_deployment, kubernetes_service_account",Medium
27,kubernetes_namespace,kubernetes,Organization,"namespace, isolation, k8s, multi-tenant, organization",Kubernetes Namespace for isolation,"metadata","","Use namespaces for environment/team isolation, set resource quotas, configure network policies","Single namespace for everything, no quotas, no network policies","resource ""kubernetes_namespace"" ""app"" { metadata { name = ""my-app"" labels = { environment = ""production"" } } }","kubernetes_resource_quota, kubernetes_network_policy",Low
28,helm_release,helm,Packages,"helm, chart, release, k8s, package, deployment",Helm chart release,"name, chart","repository, version, namespace, values, set","Pin chart versions, use values files, namespace isolation","Unpinned versions, no namespace, inline values","resource ""helm_release"" ""nginx"" { name = ""nginx-ingress"" repository = ""https://kubernetes.github.io/ingress-nginx"" chart = ""ingress-nginx"" version = ""4.0.0"" namespace = ""ingress-nginx"" create_namespace = true values = [file(""values.yaml"")] }","kubernetes_namespace",Medium
29,aws_kms_key,aws,Security,"kms, encryption, key, security, crypto",AWS KMS key for encryption,"","description, deletion_window_in_days, enable_key_rotation, policy, tags","Enable key rotation, use key policies, set deletion window","No rotation, too permissive policy, immediate deletion","resource ""aws_kms_key"" ""main"" { description = ""Main encryption key"" deletion_window_in_days = 30 enable_key_rotation = true }","aws_kms_alias, aws_kms_grant",Medium
30,aws_secretsmanager_secret,aws,Security,"secrets, manager, credentials, sensitive, vault",AWS Secrets Manager secret,"name","description, kms_key_id, recovery_window_in_days, rotation_lambda_arn","Enable rotation, use KMS encryption, set recovery window","No rotation, storing in plain text, no versioning","resource ""aws_secretsmanager_secret"" ""db"" { name = ""db-credentials"" kms_key_id = aws_kms_key.main.id recovery_window_in_days = 30 }","aws_secretsmanager_secret_version, aws_secretsmanager_secret_rotation",Medium
