STT,Architecture Type,Keywords,Recommended Provider,Recommended Pattern,Module Priority,Security Priority,State Strategy,Cost Strategy,Complexity,Decision Rules
11,Gaming Backend,"gaming, game, real-time, matchmaking, leaderboard",aws,"Microservices on Kubernetes","terraform-aws-eks, terraform-aws-elasticache, terraform-aws-dynamodb-table","private-cluster-endpoint, encrypt-at-rest, enable-secrets-encryption",isolate-state-per-env,"spot-instances, auto-scaling",High,"{""database"": ""dynamodb"", ""cache"": ""elasticache""}"
12,Healthcare App,"healthcare, hipaa, medical, patient, health, clinic",aws,"Three-Tier Web Application","terraform-aws-vpc, terraform-aws-rds, terraform-aws-kms","encrypt-at-rest, encrypt-in-transit, enable-cloudtrail, enable-config",isolate-state-per-env,"reserved-capacity, compliance-overhead",High,"{""compliance"": ""hipaa"", ""encryption"": ""kms""}"
13,Financial Services,"finance, fintech, banking, payment, trading",aws,"Multi-Region Active-Active","terraform-aws-vpc, terraform-aws-rds, terraform-aws-kms, terraform-aws-cloudtrail","encrypt-at-rest, encrypt-in-transit, enable-guardduty, enable-security-hub",isolate-state-per-env,"reserved-capacity, multi-region",High,"{""compliance"": ""pci-dss"", ""high_availability"": ""multi-region""}"
14,Media Streaming,"media, streaming, video, audio, cdn, transcoding",aws,"Event-Driven Architecture","terraform-aws-s3-bucket, terraform-aws-cloudfront, terraform-aws-lambda","encrypt-at-rest, block-public-access, enable-versioning",isolate-state-per-env,"lifecycle-policies, cdn-caching, spot-instances",Medium,"{""storage"": ""s3"", ""delivery"": ""cloudfront""}"
15,Development Environment,"dev, development, sandbox, testing, staging",aws,"Cost-Optimized Workload","terraform-aws-vpc, terraform-aws-ec2","use-private-subnets, restrict-security-groups",use-workspaces,"spot-instances, scheduled-scaling",Low,"{""cost_priority"": ""high"", ""availability"": ""low""}"
16,Disaster Recovery,"dr, disaster, recovery, backup, failover, business-continuity",aws,"Multi-Region Active-Passive","terraform-aws-vpc, terraform-aws-rds, terraform-aws-s3-bucket","enable-rds-backup, enable-versioning, encrypt-at-rest",isolate-state-per-env,"reserved-primary, warm-standby",Medium,"{""rpo"": ""1h"", ""rto"": ""4h""}"
17,Kubernetes Production,"kubernetes, k8s, production, eks, cluster, container",aws,"Microservices on Kubernetes","terraform-aws-eks, terraform-aws-vpc","enable-cluster-logging, enable-secrets-encryption, private-cluster-endpoint",isolate-state-per-env,"reserved-capacity, spot-workers",High,"{""worker_type"": ""managed"", ""networking"": ""vpc-cni""}"
18,Azure Enterprise,"azure, enterprise, microsoft, hybrid, active-directory",azurerm,"Landing Zone","terraform-azurerm-vnet, terraform-azurerm-aks","use-managed-identity, enable-defender, encrypt-at-rest",isolate-state-per-env,"reserved-capacity, hybrid-benefit",High,"{""identity"": ""entra-id"", ""hybrid"": true}"
19,GCP Data Platform,"gcp, google, bigquery, dataflow, data-platform",google,"Data Lake","terraform-google-network, terraform-google-sql-db, terraform-google-kubernetes-engine","enable-vpc-service-controls, use-workload-identity, encrypt-at-rest",isolate-state-per-env,"committed-use, preemptible",Medium,"{""analytics"": ""bigquery"", ""processing"": ""dataflow""}"
20,Multi-Cloud,"multi-cloud, hybrid, aws, azure, gcp, portability",multiple,"Hub-and-Spoke Network","terraform-aws-vpc, terraform-azurerm-vnet, terraform-google-network","encrypt-at-rest, least-privilege-iam, enable-logging",isolate-state-per-env,"right-sizing, reserved-mixed",High,"{""primary"": ""aws"", ""secondary"": ""azure""}"
