STT,Module Name,Source,Provider,Category,Keywords,Description,Input Variables,Output Values,Use Cases,Best Practices,Example Usage,Documentation URL,Complexity
11,terraform-azurerm-vnet,Azure/vnet/azurerm,azurerm,Networking,"vnet, network, azure, subnet, virtual",Azure Virtual Network with subnets,"resource_group_name, vnet_name, address_space, subnet_prefixes, subnet_names","vnet_id, vnet_name, vnet_address_space, vnet_subnets","Azure networking, VM infrastructure, AKS networking","Plan address space, use NSGs, configure service endpoints","module ""vnet"" { source = ""Azure/vnet/azurerm"" version = ""4.0.0"" resource_group_name = azurerm_resource_group.main.name vnet_name = ""my-vnet"" address_space = [""10.0.0.0/16""] subnet_prefixes = [""10.0.1.0/24"", ""10.0.2.0/24""] subnet_names = [""subnet1"", ""subnet2""] }",https://registry.terraform.io/modules/Azure/vnet/azurerm,Medium
12,terraform-azurerm-aks,Azure/aks/azurerm,azurerm,Containers,"aks, kubernetes, k8s, azure, container, managed",Azure Kubernetes Service cluster,"resource_group_name, cluster_name, location, dns_prefix","cluster_id, kube_config, host, client_certificate","Azure Kubernetes, microservices, container workloads","Use managed identity, enable RBAC, configure network policies","module ""aks"" { source = ""Azure/aks/azurerm"" version = ""7.0.0"" resource_group_name = azurerm_resource_group.main.name cluster_name = ""my-aks"" location = azurerm_resource_group.main.location dns_prefix = ""myaks"" agents_count = 3 agents_size = ""Standard_D2_v2"" }",https://registry.terraform.io/modules/Azure/aks/azurerm,High
13,terraform-google-network,terraform-google-modules/network/google,google,Networking,"vpc, network, gcp, subnet, firewall",GCP VPC network with subnets and firewall rules,"project_id, network_name, subnets","network_name, network_self_link, subnets, routes","GCP networking, GKE networking, VM infrastructure","Use shared VPC for multi-project, configure firewall rules","module ""vpc"" { source = ""terraform-google-modules/network/google"" version = ""7.0.0"" project_id = var.project_id network_name = ""my-vpc"" subnets = [{ subnet_name = ""subnet-01"" subnet_ip = ""10.0.1.0/24"" subnet_region = ""us-central1"" }] }",https://registry.terraform.io/modules/terraform-google-modules/network/google,Medium
14,terraform-google-kubernetes-engine,terraform-google-modules/kubernetes-engine/google,google,Containers,"gke, kubernetes, k8s, google, container, managed",GKE cluster with node pools,"project_id, name, region, network, subnetwork","cluster_id, endpoint, ca_certificate, master_version","GCP Kubernetes, microservices, container workloads","Use private clusters, enable workload identity, configure node auto-provisioning","module ""gke"" { source = ""terraform-google-modules/kubernetes-engine/google"" version = ""27.0.0"" project_id = var.project_id name = ""my-gke"" region = ""us-central1"" network = module.vpc.network_name subnetwork = module.vpc.subnets_names[0] ip_range_pods = ""pods"" ip_range_services = ""services"" }",https://registry.terraform.io/modules/terraform-google-modules/kubernetes-engine/google,High
15,terraform-google-sql-db,terraform-google-modules/sql-db/google,google,Database,"sql, postgres, mysql, cloudsql, database, managed",Cloud SQL instance with replicas,"project_id, name, database_version, region, tier","instance_name, instance_connection_name, public_ip_address, private_ip_address","Managed PostgreSQL/MySQL, production databases","Enable private IP, configure backups, use HA configuration","module ""sql-db"" { source = ""terraform-google-modules/sql-db/google//modules/postgresql"" version = ""15.0.0"" project_id = var.project_id name = ""my-db"" database_version = ""POSTGRES_15"" region = ""us-central1"" tier = ""db-f1-micro"" }",https://registry.terraform.io/modules/terraform-google-modules/sql-db/google,Medium
16,terraform-aws-ecr,terraform-aws-modules/ecr/aws,aws,Containers,"ecr, registry, container, image, docker",ECR repository with lifecycle policies,"repository_name, repository_type, image_tag_mutability","repository_arn, repository_url, repository_registry_id","Container images, CI/CD pipelines, EKS deployments","Enable image scanning, set lifecycle policies, use immutable tags","module ""ecr"" { source = ""terraform-aws-modules/ecr/aws"" version = ""1.0.0"" repository_name = ""my-app"" repository_lifecycle_policy = jsonencode({ rules = [{ rulePriority = 1 selection = { tagStatus = ""untagged"" countType = ""sinceImagePushed"" countUnit = ""days"" countNumber = 14 } action = { type = ""expire"" } }] }) }",https://registry.terraform.io/modules/terraform-aws-modules/ecr/aws,Low
17,terraform-aws-route53,terraform-aws-modules/route53/aws,aws,DNS,"route53, dns, zone, domain, records",Route53 hosted zones and records,"zones, records","route53_zone_zone_id, route53_zone_name, route53_record_name","DNS management, domain hosting, multi-region routing","Use alias records for AWS resources, configure health checks","module ""zones"" { source = ""terraform-aws-modules/route53/aws//modules/zones"" version = ""2.0.0"" zones = { ""example.com"" = { comment = ""Production zone"" } } }",https://registry.terraform.io/modules/terraform-aws-modules/route53/aws,Low
18,terraform-aws-sqs,terraform-aws-modules/sqs/aws,aws,Messaging,"sqs, queue, messaging, async, events",SQS queue with DLQ and policies,"name, create_queue_policy, source_queue_policy_documents","queue_id, queue_arn, queue_url, dead_letter_queue_arn","Message queuing, async processing, decoupling services","Configure DLQ, enable encryption, set visibility timeout","module ""sqs"" { source = ""terraform-aws-modules/sqs/aws"" version = ""4.0.0"" name = ""my-queue"" message_retention_seconds = 86400 visibility_timeout_seconds = 30 create_dlq = true }",https://registry.terraform.io/modules/terraform-aws-modules/sqs/aws,Low
19,terraform-aws-kms,terraform-aws-modules/kms/aws,aws,Security,"kms, encryption, key, security, crypto",KMS key with policies and aliases,"description, key_usage, customer_master_key_spec","key_id, key_arn, aliases","Data encryption, secrets encryption, S3/EBS encryption","Enable key rotation, use key policies, set deletion window","module ""kms"" { source = ""terraform-aws-modules/kms/aws"" version = ""2.0.0"" description = ""Main encryption key"" enable_key_rotation = true deletion_window_in_days = 30 aliases = [""alias/my-key""] }",https://registry.terraform.io/modules/terraform-aws-modules/kms/aws,Medium
20,terraform-aws-dynamodb-table,terraform-aws-modules/dynamodb-table/aws,aws,Database,"dynamodb, nosql, serverless, table, key-value",DynamoDB table with GSI and autoscaling,"name, hash_key, attributes, billing_mode","dynamodb_table_id, dynamodb_table_arn, dynamodb_table_stream_arn","Serverless databases, key-value storage, session storage","Enable point-in-time recovery, design for access patterns, use on-demand","module ""dynamodb"" { source = ""terraform-aws-modules/dynamodb-table/aws"" version = ""3.0.0"" name = ""my-table"" hash_key = ""pk"" range_key = ""sk"" billing_mode = ""PAY_PER_REQUEST"" attributes = [{ name = ""pk"" type = ""S"" }, { name = ""sk"" type = ""S"" }] }",https://registry.terraform.io/modules/terraform-aws-modules/dynamodb-table/aws,Medium
