STT,Category,Rule ID,Severity,Keywords,Description,Do,Don't,Code Example Good,Code Example Bad,Compliance,Remediation,Documentation URL
11,Logging & Monitoring,enable-cloudtrail,CRITICAL,"cloudtrail, audit, logging, api, compliance",Enable CloudTrail for API activity logging,"Enable CloudTrail in all regions with log file validation","Operate without API audit trail","resource ""aws_cloudtrail"" ""main"" { name = ""main-trail"" s3_bucket_name = aws_s3_bucket.cloudtrail.id include_global_service_events = true is_multi_region_trail = true enable_log_file_validation = true kms_key_id = aws_kms_key.cloudtrail.arn }","# No CloudTrail configured - no audit trail","SOC2, HIPAA, PCI-DSS, CIS","Create CloudTrail with multi-region and log validation enabled",https://docs.aws.amazon.com/awscloudtrail/latest/userguide/cloudtrail-create-and-update-a-trail.html
12,Logging & Monitoring,enable-config,HIGH,"config, compliance, drift, monitoring, audit",Enable AWS Config for resource compliance monitoring,"Enable Config with compliance rules for security baselines","Operate without resource compliance checking","resource ""aws_config_configuration_recorder"" ""main"" { name = ""main"" role_arn = aws_iam_role.config.arn recording_group { all_supported = true include_global_resource_types = true } }","# No AWS Config - no compliance monitoring","SOC2, CIS, HIPAA","Enable AWS Config recorder, configure managed rules",https://docs.aws.amazon.com/config/latest/developerguide/gs-console.html
13,S3 Security,block-public-access,CRITICAL,"s3, public, access, bucket, block",Block public access on S3 buckets by default,"Enable all public access blocks at account and bucket level","Allow public access without explicit business need","resource ""aws_s3_bucket_public_access_block"" ""block"" { bucket = aws_s3_bucket.data.id block_public_acls = true block_public_policy = true ignore_public_acls = true restrict_public_buckets = true }","resource ""aws_s3_bucket"" ""data"" { bucket = ""my-bucket"" } # No public access block - potentially public","CIS, SOC2, GDPR","Add aws_s3_bucket_public_access_block resource",https://docs.aws.amazon.com/AmazonS3/latest/userguide/access-control-block-public-access.html
14,S3 Security,enable-versioning,HIGH,"s3, versioning, backup, recovery, data",Enable versioning on S3 buckets for data protection,"Enable versioning for important buckets, configure lifecycle","Disable versioning for buckets with important data","resource ""aws_s3_bucket_versioning"" ""versioning"" { bucket = aws_s3_bucket.data.id versioning_configuration { status = ""Enabled"" } }","resource ""aws_s3_bucket"" ""data"" { bucket = ""my-bucket"" } # No versioning - data loss risk","SOC2, HIPAA","Enable versioning, configure lifecycle for old versions",https://docs.aws.amazon.com/AmazonS3/latest/userguide/Versioning.html
15,Database Security,enable-rds-encryption,CRITICAL,"rds, encryption, database, storage, kms",Enable encryption for RDS instances,"Enable storage encryption with KMS key","Create unencrypted database instances","resource ""aws_db_instance"" ""db"" { identifier = ""my-db"" storage_encrypted = true kms_key_id = aws_kms_key.rds.arn }","resource ""aws_db_instance"" ""db"" { identifier = ""my-db"" storage_encrypted = false }","SOC2, HIPAA, PCI-DSS","Enable storage_encrypted, specify kms_key_id",https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Overview.Encryption.html
16,Database Security,enable-rds-backup,HIGH,"rds, backup, retention, recovery, disaster",Enable automated backups with appropriate retention,"Set backup retention period to meet recovery requirements","Disable automated backups or use minimal retention","resource ""aws_db_instance"" ""db"" { backup_retention_period = 30 backup_window = ""03:00-04:00"" delete_automated_backups = false }","resource ""aws_db_instance"" ""db"" { backup_retention_period = 0 # Backups disabled }","SOC2, HIPAA","Set backup_retention_period > 0, configure backup window",https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_WorkingWithAutomatedBackups.html
17,Database Security,no-public-rds,CRITICAL,"rds, public, database, network, access",Never expose RDS instances publicly,"Set publicly_accessible = false, use private subnets","Make database instances publicly accessible","resource ""aws_db_instance"" ""db"" { publicly_accessible = false db_subnet_group_name = aws_db_subnet_group.private.name }","resource ""aws_db_instance"" ""db"" { publicly_accessible = true # Exposed to internet }","CIS, SOC2, PCI-DSS","Set publicly_accessible = false, move to private subnet",https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_VPC.WorkingWithRDSInstanceinaVPC.html
18,EKS Security,enable-cluster-logging,HIGH,"eks, logging, kubernetes, audit, control-plane",Enable EKS cluster logging for audit and debugging,"Enable all log types: api, audit, authenticator, controllerManager, scheduler","Run without control plane logging","resource ""aws_eks_cluster"" ""main"" { enabled_cluster_log_types = [""api"", ""audit"", ""authenticator"", ""controllerManager"", ""scheduler""] }","resource ""aws_eks_cluster"" ""main"" { # No logging configured }","SOC2, CIS","Add enabled_cluster_log_types with all types",https://docs.aws.amazon.com/eks/latest/userguide/control-plane-logs.html
19,EKS Security,enable-secrets-encryption,HIGH,"eks, secrets, encryption, kms, kubernetes",Enable envelope encryption for Kubernetes secrets,"Configure encryption_config with KMS key","Store secrets unencrypted in etcd","resource ""aws_eks_cluster"" ""main"" { encryption_config { provider { key_arn = aws_kms_key.eks.arn } resources = [""secrets""] } }","resource ""aws_eks_cluster"" ""main"" { # No encryption config - secrets stored in plaintext }","SOC2, CIS, PCI-DSS","Add encryption_config block with KMS key",https://docs.aws.amazon.com/eks/latest/userguide/enable-kms.html
20,EKS Security,private-cluster-endpoint,HIGH,"eks, private, endpoint, api-server, network",Restrict EKS API server endpoint access,"Enable private endpoint, disable or restrict public endpoint","Expose cluster API publicly without restrictions","resource ""aws_eks_cluster"" ""main"" { vpc_config { endpoint_private_access = true endpoint_public_access = false } }","resource ""aws_eks_cluster"" ""main"" { vpc_config { endpoint_public_access = true public_access_cidrs = [""0.0.0.0/0""] } }","CIS, SOC2","Enable endpoint_private_access, restrict public_access_cidrs",https://docs.aws.amazon.com/eks/latest/userguide/cluster-endpoint.html
21,Lambda Security,lambda-vpc,MEDIUM,"lambda, vpc, network, isolation, security",Place Lambda functions in VPC for private resource access,"Configure VPC config when accessing private resources","Access private resources without VPC configuration","resource ""aws_lambda_function"" ""api"" { vpc_config { subnet_ids = aws_subnet.private[*].id security_group_ids = [aws_security_group.lambda.id] } }","resource ""aws_lambda_function"" ""api"" { # No VPC config - cannot access private resources }","SOC2","Add vpc_config with private subnets and security group",https://docs.aws.amazon.com/lambda/latest/dg/configuration-vpc.html
22,Lambda Security,lambda-reserved-concurrency,MEDIUM,"lambda, concurrency, throttling, dos, protection",Set reserved concurrency to prevent resource exhaustion,"Configure reserved_concurrent_executions based on capacity","Allow unlimited concurrency without protection","resource ""aws_lambda_function"" ""api"" { reserved_concurrent_executions = 100 }","resource ""aws_lambda_function"" ""api"" { # Unlimited concurrency - potential cost/DoS risk }","SOC2","Set reserved_concurrent_executions based on expected load",https://docs.aws.amazon.com/lambda/latest/dg/configuration-concurrency.html
23,KMS Security,enable-key-rotation,HIGH,"kms, rotation, key, encryption, security",Enable automatic key rotation for KMS keys,"Enable key rotation for symmetric CMKs","Disable key rotation or never rotate keys","resource ""aws_kms_key"" ""main"" { enable_key_rotation = true deletion_window_in_days = 30 }","resource ""aws_kms_key"" ""main"" { enable_key_rotation = false }","CIS, SOC2, PCI-DSS","Set enable_key_rotation = true",https://docs.aws.amazon.com/kms/latest/developerguide/rotate-keys.html
24,GuardDuty,enable-guardduty,HIGH,"guardduty, threat, detection, security, monitoring",Enable GuardDuty for threat detection,"Enable GuardDuty in all regions","Operate without threat detection capabilities","resource ""aws_guardduty_detector"" ""main"" { enable = true finding_publishing_frequency = ""FIFTEEN_MINUTES"" datasources { s3_logs { enable = true } kubernetes { audit_logs { enable = true } } } }","# No GuardDuty - no threat detection","SOC2, CIS","Create aws_guardduty_detector resource",https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_settingup.html
25,Security Hub,enable-security-hub,HIGH,"security-hub, compliance, findings, aggregation",Enable Security Hub for security findings aggregation,"Enable Security Hub with compliance standards","Operate without centralized security visibility","resource ""aws_securityhub_account"" ""main"" {} resource ""aws_securityhub_standards_subscription"" ""cis"" { standards_arn = ""arn:aws:securityhub:::ruleset/cis-aws-foundations-benchmark/v/1.2.0"" }","# No Security Hub - fragmented security view","SOC2, CIS","Create aws_securityhub_account and enable standards",https://docs.aws.amazon.com/securityhub/latest/userguide/securityhub-settingup.html
